City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
532,sorochinsk,RU,52.4338,53.1583,0.48,81,93,5.26,overcast clouds
533,marystown,CA,47.1666,-55.1483,43.7,99,100,22.5,light rain
534,musoma,TZ,-1.5,33.8,70.83,64,96,5.44,overcast clouds
535,oeiras do para,BR,-2.0031,-49.8544,74.71,90,62,3.4,broken clouds
536,babushkin,RU,51.7122,105.8647,7.84,82,78,3.2,broken clouds
537,ahuimanu,US,21.4447,-157.8378,82.11,73,40,8.05,light rain
538,coffeyville,US,37.0373,-95.6164,57.25,50,0,8.05,clear sky
539,kapustin yar,RU,48.5831,45.7372,18.45,79,27,7.43,scattered clouds
540,mahajanga,MG,-15.7167,46.3167,77.02,94,20,2.3,few clouds
541,oksfjord,NO,70.2396,22.3479,30.38,95,100,2.93,light snow
542,ocala,US,29.1872,-82.1401,57.18,59,0,4.61,clear sky
543,pinawa,CA,50.1489,-95.8811,26.56,94,100,8.28,overcast clouds
544,kibala,TD,9.1104,18.3463,67.95,52,0,2.3,clear sky
545,navsari,IN,20.9524,72.9324,60.96,32,0,8.57,clear sky
546,port lincoln,AU,-34.7333,135.8667,70.25,68,99,17.49,moderate rain
547,paamiut,GL,61.994,-49.6678,2.16,73,100,13.82,overcast clouds
548,mayumba,GA,-3.432,10.6554,77.05,86,100,1.72,moderate rain
549,otane,NZ,-39.8833,176.6333,72.3,56,70,7.58,broken clouds
550,doka,SD,13.5167,35.7667,73.04,29,22,13.71,few clouds
551,vila velha,BR,-20.3297,-40.2925,78.75,89,40,6.91,scattered clouds
552,gladstone,AU,-23.85,151.25,78.73,73,75,11.5,light rain
553,aksum,ET,14.1245,38.7244,56.53,58,30,2.66,scattered clouds
554,georgetown,MY,5.4112,100.3354,78.73,80,20,4.61,few clouds
555,aspindza,GE,41.5739,43.2483,30.07,76,97,5.88,overcast clouds
556,iwaki,JP,37.05,140.8833,41.02,53,7,1.99,clear sky
557,karasburg,NA,-28.0167,18.75,74.23,41,55,8.32,broken clouds
558,sfantu gheorghe,RO,45.8667,25.7833,41.27,77,91,2.91,overcast clouds
559,almenara,BR,-16.1836,-40.6944,70.43,94,100,1.48,overcast clouds
560,copiapo,CL,-27.3667,-70.3333,62.29,56,0,5.73,clear sky
561,rocha,UY,-34.4833,-54.3333,67.5,82,0,8.79,clear sky
562,chara,RU,56.9064,118.2631,-31.18,88,100,1.39,overcast clouds
563,omsukchan,RU,62.5333,155.8,-23.57,97,100,5.3,overcast clouds
564,yashkul,RU,46.1711,45.3435,27.73,79,7,9.82,clear sky
565,cahors,FR,44.4167,1.3333,40.14,96,100,6.71,light rain
566,jinchang,CN,38.4953,102.1739,9.72,60,20,7.54,few clouds
567,nizwa,OM,22.9333,57.5333,62.64,57,79,1.95,broken clouds
568,damaturu,NG,11.747,11.9608,65.08,21,88,9.06,overcast clouds
569,inongo,CD,-1.95,18.2667,71.83,92,100,6.29,overcast clouds
570,vangaindrano,MG,-23.35,47.6,73.74,87,26,1.01,light rain
571,gamba,GA,-2.65,10.0,76.75,82,99,2.73,light rain
572,esperance,AU,-33.8667,121.9,62.64,53,25,14.88,scattered clouds
573,irondequoit,US,43.2134,-77.5797,29.59,84,50,4.68,scattered clouds
574,nong ki,TH,14.6868,102.538,62.71,76,7,6.35,clear sky
